date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
14.07.2010;6;6;6;6;6;6;7;5;;;;;;;;;13;13;12;13;13;13;13;13;2.6;1;3;9.2;5.4;0.4;0.9;1.1;100;100;100;100;100;100;100;100
15.07.2010;6;4;5;5;6;6;6;5;;;;;;;;;13;14;15;16;24;26;24;20;1.6;0.3;0.9;;;;;;100;100;100;82;94;56;69;51
16.07.2010;5;5;5;6;5;4;2;2;;;;;;;;;18;16;19;24;27;26;21;19;;;;;;;;;27;5;8;34;25;46;56;27
17.07.2010;2;1;3;3;2;3;3;2;;;;;;;;;17;16;20;20;23;27;23;14;;;;;;;;;34;61;46;56;97;;;27
18.07.2010;1;2;1;1;2;3;3;3;;;;;;;;;10;11;16;23;26;25;21;18;;;;;;;;0.5;5;82;99;30;40;80;62;100
19.07.2010;4;2;3;4;4;3;2;1;;;;;;;;;16;12;12;18;20;20;16;9;;;0.6;;;;;;100;57;90;9;12;;;31
20.07.2010;1;1;2;1;1;1;2;3;;;;;;;;;6;6;15;21;24;23;18;14;;;;;;;;;;48;53;12;;;;
21.07.2010;3;2;2;3;3;3;3;2;;;;;;;;;12;11;18;26;28;28;23;21;;;;;;;;;7;17;11;;;80;84;76
22.07.2010;2;1;2;2;2;3;1;2;;;;;;;;;19;17;20;25;29;28;24;17;;;;;;;;;44;44;80;39;46;;;17
23.07.2010;1;1;1;2;1;2;2;3;;;;;;;;;14;12;22;28;31;30;25;19;;;;;;;;;;17;20;13;5;25;18;11
24.07.2010;2;2;1;1;2;2;2;2;;;;;;;;;17;15;22;30;31;31;26;20;;;;;;;;;7;19;44;80;68;69;100;83
25.07.2010;2;2;2;1;2;3;2;3;;;;;;;;;18;16;24;32;33;32;28;23;;;;;;;;;82;20;27;50;13;44;24;45
26.07.2010;3;4;4;3;4;3;3;2;;;;;;;;;21;20;19;21;25;26;21;16;;;;;;;;;9;99;100;49;70;9;22;
27.07.2010;2;1;1;1;2;1;2;4;;;;;;;;;12;8;16;22;24;25;20;16;;;;;;;;;;;;;;;;
28.07.2010;3;2;2;2;3;3;2;2;;;;;;;;;14;12;19;27;30;29;24;18;;;;;;;;;;;;44;13;12;;
29.07.2010;2;2;2;1;2;2;2;1;;;;;;;;;14;12;18;26;27;28;21;13;;;;;;;;;;;;;;;;
30.07.2010;2;2;1;1;1;3;2;2;;;;;;;;;14;13;21;31;34;32;26;21;;;;;;;;;;16;;;10;6;13;19
31.07.2010;2;2;2;3;3;2;1;2;;;;;;;;;19;17;23;30;33;32;26;21;;;;;;0.4;;;16;;;37;65;10;;8
01.08.2010;1;1;1;3;2;1;2;3;;;;;;;;;18;16;23;30;33;33;27;22;;;;;;;;;9;;;;;14;;48
02.08.2010;3;2;2;2;2;1;2;3;;;;;;;;;20;18;24;33;36;34;28;24;;;;;;;;;21;6;;25;6;;11;50
03.08.2010;3;2;2;2;2;1;2;2;;;;;;;;;19;19;21;31;34;33;27;21;0.4;;4.4;;;0.7;;1.1;43;46;64;27;67;21;21;
04.08.2010;2;2;3;3;3;4;2;2;;;;;;;;;18;17;23;30;32;31;27;22;;;;;;;;;;63;72;77;96;87;65;8
05.08.2010;2;2;2;2;2;2;2;2;;;;;;;;;19;17;22;29;32;31;25;19;;;;;;;;;6;;;;;;;
06.08.2010;2;1;1;1;1;1;1;1;;;;;;;;;16;15;23;31;36;34;25;19;;;;;;;;;;;;;;;;
