date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
31.08.2011;3;3;4;4;5;5;4;4;;;;;;;;;14;13;17;23;26;25;19;17;;;;;;;;;7;6;;;;;;
01.06.2012;2;2;1;2;2;3;3;3;;;;;;;;;16;15;22;27;29;29;25;20;;;;;;;;;;;12;20;21;13;;15
02.06.2012;3;3;2;3;6;5;2;3;;;;;;;;;18;18;23;27;31;30;26;19;;;;;;;;1.9;55;72;96;96;47;55;57;59
03.06.2012;2;2;1;2;4;3;2;2;;;;;;;;;17;17;20;28;27;28;24;19;1.2;;;;4.5;;;1.3;37;66;99;69;81;89;100;99
04.06.2012;3;3;3;2;1;2;3;2;;;;;;;;;18;17;20;23;23;21;17;15;;;;;2.5;4.5;2.1;1.3;44;28;47;73;85;86;50;60
05.06.2012;2;2;4;7;4;5;4;4;;;;;;;;;12;10;13;16;12;16;15;10;0.5;1.7;2;2.8;2.6;0.6;;;11;10;22;29;100;99;45;23
06.06.2012;5;4;6;5;5;5;2;2;;;;;;;;;11;9;14;18;20;20;17;12;;;;;;;;;78;67;11;6;;;;
07.06.2012;2;2;1;1;1;1;2;2;;;;;;;;;10;10;16;23;24;25;20;14;;;;;;;;;;17;;;;;;5
08.06.2012;2;2;2;2;3;3;3;3;;;;;;;;;13;12;19;25;27;27;23;17;;;;;;;;;6;12;7;;;;11;7
09.06.2012;3;3;4;5;5;5;3;4;;;;;;;;;15;14;18;25;27;28;24;20;0.6;;1.8;;;;;;33;41;53;64;90;67;48;58
10.06.2012;4;4;2;2;4;4;4;3;;;;;;;;;17;16;21;26;28;22;18;17;0.5;;0.4;1;0.3;4;4.1;2.9;28;46;56;64;72;81;100;100
11.06.2012;3;4;5;6;5;5;4;4;;;;;;;;;14;13;16;20;21;22;18;14;0.5;0.8;;;;;0.3;;58;69;95;87;100;98;58;42
12.06.2012;5;5;7;7;6;5;3;3;;;;;;;;;13;12;17;21;24;24;21;16;;;;;;;;;8;6;;;6;18;83;72
13.06.2012;3;3;3;4;5;5;1;3;;;;;;;;;15;14;18;23;25;26;22;17;;;;;;;;0.9;42;48;17;31;66;70;30;56
14.06.2012;2;2;1;1;1;2;1;0;;;;;;;;;17;16;20;28;28;28;25;17;;;;;0.7;;;;92;76;62;34;;5;7;
15.06.2012;1;2;4;5;6;6;4;4;;;;;;;;;20;18;23;28;28;27;23;18;;0.5;0.3;;;;;;96;66;;;;;;
16.06.2012;3;3;3;4;5;5;3;3;;;;;;;;;15;13;19;23;26;26;22;16;;;;;;;;;;8;11;9;;;;
17.06.2012;3;2;3;3;2;2;2;2;;;;;;;;;14;12;16;21;24;25;21;15;;;;;;;;;;;;;;;;
18.06.2012;2;2;2;2;2;2;2;1;;;;;;;;;14;14;20;24;27;27;24;17;;;;;;;;;;;10;9;10;25;5;26
19.06.2012;1;1;1;3;4;4;3;3;;;;;;;;;15;15;23;27;29;29;25;21;;;;;;;;;70;59;26;23;15;22;92;95
20.06.2012;3;3;4;5;5;4;2;1;;;;;;;;;20;20;22;29;32;29;27;22;;;0.3;;;2.8;1.5;0.5;100;99;99;89;71;76;100;100
21.06.2012;1;2;1;2;3;4;3;2;;;;;;;;;20;20;25;30;32;33;29;22;;;;;;;;;100;93;26;14;8;6;62;79
22.06.2012;2;3;3;3;5;5;3;4;;;;;;;;;20;19;23;29;31;30;22;19;;;;;;;3.2;5.4;90;61;50;60;84;72;98;98
23.06.2012;4;3;4;5;5;4;2;3;;;;;;;;;18;17;21;26;26;27;24;19;0.8;;;;;;;;100;80;10;10;23;37;14;7
24.06.2012;3;3;3;3;4;4;3;3;;;;;;;;;16;16;21;24;25;25;21;16;;;;;0.4;0.3;;;;;;;11;14;;
25.06.2012;3;3;3;3;3;2;2;2;;;;;;;;;13;12;17;21;24;24;21;15;;;;;;;;;11;16;26;21;9;16;37;19
26.06.2012;2;1;2;3;3;4;3;3;;;;;;;;;13;11;17;22;24;23;19;15;;;;;;;;;28;15;;;7;21;89;62
27.06.2012;3;2;2;4;4;3;2;2;;;;;;;;;12;11;16;21;23;23;19;12;;;;;;;;;7;8;16;8;;;;
28.06.2012;1;1;2;4;5;5;3;2;;;;;;;;;8;9;16;21;23;24;19;12;;;;;;;;;;;;;;;;
29.06.2012;3;3;3;3;2;2;2;1;;;;;;;;;11;10;15;21;25;26;21;13;;;;;;;;;;;10;12;;;;
30.06.2012;2;2;1;1;2;2;2;2;;;;;;;;;14;13;20;26;28;28;24;17;;;;;;;;;;;;;;;;14
01.07.2012;2;2;1;1;1;1;1;1;;;;;;;;;16;15;22;29;31;31;26;18;;;;;;;;;;6;20;15;;;30;41
02.07.2012;1;1;2;2;1;1;2;3;;;;;;;;;16;15;23;29;33;31;26;20;;;;;;;;;92;68;;;;;;
03.07.2012;2;2;1;1;1;1;1;2;;;;;;;;;17;16;23;30;32;32;27;20;;;;;;;;;;;6;;8;5;;
04.07.2012;2;2;1;2;2;2;2;2;;;;;;;;;17;16;25;31;32;32;27;21;;;;;;;;;;;;6;19;10;;7
05.07.2012;2;2;2;1;2;1;3;1;;;;;;;;;20;19;25;32;32;31;24;20;;;;;;;;1.7;69;72;35;40;69;69;100;100
06.07.2012;1;2;4;4;4;4;3;3;;;;;;;;;18;18;20;25;27;28;23;17;0.8;0.3;0.9;;;;;;92;80;79;79;19;51;26;13
07.07.2012;3;3;3;3;2;2;2;2;;;;;;;;;14;12;16;21;24;24;20;13;;;;;;;;;;28;100;99;92;51;16;9
08.07.2012;2;3;2;3;3;3;3;2;;;;;;;;;13;12;15;20;23;23;19;12;;;;;;;;;41;46;90;88;9;;94;62
09.07.2012;1;1;1;1;2;2;3;3;;;;;;;;;8;7;17;24;24;24;20;14;;;;;;;;;;;;;;;;
10.07.2012;3;3;3;3;4;3;1;2;;;;;;;;;13;12;18;25;28;29;24;18;;;;;;;;;;;41;51;77;52;59;36
11.07.2012;3;3;2;3;2;2;1;3;;;;;;;;;16;15;22;28;31;31;27;21;;;;;;;;;;;;;;;;
12.07.2012;3;3;1;1;1;2;2;3;;;;;;;;;19;18;25;32;34;33;28;22;;;;;;;;;;;;;;;11;6
13.07.2012;2;2;2;3;4;4;3;3;;;;;;;;;21;20;26;33;34;34;29;24;;;;;;;;;;;8;14;21;25;94;95
14.07.2012;2;2;2;3;4;4;3;3;;;;;;;;;21;20;27;33;34;34;29;23;;;;;;;;0.3;100;90;22;14;87;78;79;62
15.07.2012;2;2;1;2;4;4;3;4;;;;;;;;;21;20;23;29;34;34;28;23;0.4;;0.5;1.4;;;;;81;87;51;52;8;26;100;98
16.07.2012;3;2;1;1;2;2;1;1;;;;;;;;;20;19;24;32;34;33;29;22;;;0.5;;;;;0.7;95;81;73;44;30;45;100;85
17.07.2012;2;2;2;3;4;5;3;3;;;;;;;;;21;20;25;32;35;35;30;25;0.4;0.7;0.5;;;;;;58;68;92;93;92;79;95;84
18.07.2012;3;3;3;5;6;6;3;2;;;;;;;;;23;20;26;33;36;36;31;24;;;;;;;;;66;38;;;;;;9
19.07.2012;3;4;5;5;4;3;3;3;;;;;;;;;20;19;18;22;26;28;24;19;1.3;0.6;5.1;1.4;0.4;;;;61;79;100;97;22;11;48;62
20.07.2012;3;2;5;4;3;3;2;3;;;;;;;;;16;15;19;25;27;28;22;17;;;;;;;;;89;93;99;62;94;96;31;16
21.07.2012;3;2;2;3;3;3;2;1;;;;;;;;;14;13;19;25;28;26;24;18;;;;;;;;1.6;;;;;;29;82;89
22.07.2012;2;2;2;4;4;3;3;3;;;;;;;;;17;17;20;25;27;26;22;17;3.6;3.2;;;;;;;88;91;39;19;15;40;48;25
23.07.2012;3;3;3;3;3;2;1;1;;;;;;;;;15;13;18;24;26;27;23;16;;;;;;;;;;;;;18;30;69;64
24.07.2012;3;4;4;4;3;2;3;4;;;;;;;;;17;16;19;22;24;24;21;16;;;;;0.3;0.3;;;81;88;100;100;72;54;78;83
25.07.2012;3;4;2;3;3;2;2;3;;;;;;;;;14;13;15;19;22;23;19;14;;;0.3;0.3;;;;;95;93;96;93;90;81;75;55
26.07.2012;3;3;4;4;4;4;2;3;;;;;;;;;12;11;16;21;23;24;19;14;;;;;;;;;;;;;;;29;14
27.07.2012;3;2;2;2;2;2;1;1;;;;;;;;;13;12;18;24;27;27;21;16;;;;;;;;;;;;6;;6;39;43
28.07.2012;2;1;3;2;3;3;3;3;;;;;;;;;15;13;20;24;24;22;18;15;;;;1.2;0.8;1.6;1.3;;35;19;18;36;85;91;83;46
29.07.2012;3;3;4;4;4;5;4;4;;;;;;;;;12;11;14;19;20;21;17;12;;;;;1.2;0.7;0.5;;39;20;;;65;47;10;5
30.07.2012;3;3;4;5;4;4;4;3;;;;;;;;;10;9;13;17;17;18;14;12;;;;;;;;;;;53;63;84;80;85;91
31.07.2012;3;3;5;5;5;5;4;4;;;;;;;;;11;11;13;16;17;19;14;14;;;;;;0.3;1.1;2;91;82;46;62;99;97;100;99
01.08.2012;5;5;6;6;6;5;3;3;;;;;;;;;12;12;14;22;26;26;22;17;;;0.3;;;;;;94;87;100;94;31;46;13;7
02.08.2012;3;3;3;4;4;4;2;2;;;;;;;;;14;14;19;27;28;29;24;19;;;;;;;;;;;;;28;43;38;20
03.08.2012;2;1;2;1;1;2;2;3;;;;;;;;;17;17;20;26;32;29;26;22;;;;;;;;;5;17;88;85;22;53;57;57
04.08.2012;2;2;2;2;3;3;2;3;;;;;;;;;19;17;18;25;28;28;22;18;;2.5;0.5;;;;;;8;28;52;52;13;11;7;
05.08.2012;2;2;1;1;2;2;3;3;;;;;;;;;14;13;18;26;29;29;23;19;;;;;;;;;;;;;;;;
06.08.2012;3;3;4;5;4;3;2;3;;;;;;;;;17;15;18;23;29;31;25;21;;1.3;2.6;1.7;;;;;;18;67;65;98;58;;
07.08.2012;3;3;3;4;4;4;3;3;;;;;;;;;19;17;21;26;28;28;22;18;;;;;;;;;24;14;8;17;;;8;5
08.08.2012;3;3;2;2;1;1;1;2;;;;;;;;;15;13;17;23;27;27;19;16;;;;;;;;;37;46;39;20;;;;6
09.08.2012;2;3;3;3;3;2;2;2;;;;;;;;;16;15;20;27;30;31;24;20;;;;;;;;;40;21;11;6;;;;
10.08.2012;3;3;2;3;3;2;1;2;;;;;;;;;19;18;23;30;34;34;26;22;;;;;;;;;;;;;;;47;28
11.08.2012;2;2;2;3;4;4;4;2;;;;;;;;;21;19;25;31;35;35;27;23;;;;;;;;;;;9;34;70;55;93;88
12.08.2012;2;2;2;3;4;4;4;3;;;;;;;;;22;20;23;29;31;31;25;19;;;0.4;;;;;0.9;72;82;98;93;94;88;50;55
13.08.2012;3;3;3;2;1;1;1;1;;;;;;;;;16;15;16;17;21;24;18;15;;5.3;4.8;2.4;;;;;96;98;100;100;80;50;;6
14.08.2012;1;2;3;4;4;5;3;2;;;;;;;;;13;13;17;22;24;23;18;13;;;;0.3;;;;;63;50;26;21;;;39;21
15.08.2012;1;1;2;3;3;2;1;2;;;;;;;;;9;8;16;22;25;25;17;14;;;;;;;;;;;24;34;45;23;11;18
16.08.2012;3;2;2;1;1;1;2;2;;;;;;;;;13;12;15;13;13;17;15;14;;;;3.4;3;;0.3;1.3;72;79;100;100;100;87;44;66
17.08.2012;3;3;4;5;4;4;4;3;;;;;;;;;12;11;13;19;21;21;17;14;0.5;;;;;;;;100;100;99;95;75;46;69;81
18.08.2012;3;3;4;4;5;4;4;5;;;;;;;;;12;11;11;14;18;21;18;15;0.8;5.9;5.1;0.8;1.2;;;1.7;100;100;100;100;97;72;85;82
19.08.2012;3;3;4;6;7;5;4;4;;;;;;;;;14;14;16;24;26;24;19;16;0.3;1.1;0.6;;;;;;19;32;13;7;5;25;70;37
20.08.2012;3;3;3;4;4;4;2;3;;;;;;;;;14;14;17;19;21;22;16;14;;;;0.3;;;;;;21;69;55;47;27;;7
21.08.2012;2;2;2;2;3;2;1;4;;;;;;;;;12;11;16;22;25;22;16;13;;;;;;2.1;2.9;0.3;8;;;;8;30;28;19
22.08.2012;4;3;3;3;3;3;3;3;;;;;;;;;10;9;11;16;19;19;14;12;;;;;;;;;17;11;;;;25;98;97
23.08.2012;3;3;3;4;4;3;4;4;;;;;;;;;11;10;9;10;13;14;12;9;;;1.5;1.2;0.4;;;;100;100;100;100;97;97;46;47
24.08.2012;3;3;2;2;2;1;1;2;;;;;;;;;8;7;10;17;21;21;15;15;;;;;;;;;31;23;64;48;50;26;61;75
25.08.2012;3;2;1;1;2;1;1;1;;;;;;;;;13;13;13;15;16;15;11;11;;3.8;6.4;3.4;1;1.3;0.7;0.4;71;83;100;100;100;100;100;100
26.08.2012;1;1;1;1;1;2;2;2;;;;;;;;;10;10;12;15;17;17;13;13;0.3;0.5;0.3;0.5;0.5;0.6;;;100;100;92;87;80;55;58;61
27.08.2012;2;2;2;3;3;3;2;3;;;;;;;;;11;11;13;16;18;18;12;11;;;0.3;0.3;0.6;0.8;0.5;0.3;58;61;89;87;24;34;25;15
28.08.2012;3;3;3;3;3;3;2;2;;;;;;;;;10;9;10;16;19;19;11;10;;;-;-;;;;;;;;;;;8;6
29.08.2012;1;1;1;3;4;4;3;3;;;;;;;;;8;7;13;18;22;22;16;14;;;;;;;;;10;13;61;55;13;7;31;35
30.08.2012;3;3;3;5;6;5;3;4;;;;;;;;;12;12;15;23;26;24;19;18;;;;;;;;;35;21;6;10;32;62;100;100
31.08.2012;4;5;6;8;7;3;3;3;;;;;;;;;16;14;13;19;23;21;17;16;0.8;1.5;2.8;;;;0.6;;100;100;100;75;55;67;39;49
01.06.2013;2;2;2;3;3;3;2;1;;;;;;;;;8;7;14;18;20;20;15;8;;;;;;;;;;;;;11;18;16;8
02.06.2013;1;2;1;2;2;2;2;1;;;;;;;;;6;7;15;20;20;20;16;8;;;;;;;;;;;;;58;74;63;32
03.06.2013;2;3;4;3;3;3;3;2;;;;;;;;;10;8;11;16;18;18;14;8;;;;;;;;;;;66;55;62;31;;
04.06.2013;2;2;1;1;2;2;2;3;;;;;;;;;6;5;13;20;20;19;16;11;;;;;;;;;;;;;;6;;
05.06.2013;3;3;3;4;4;3;1;3;;;;;;;;;10;9;13;20;23;22;15;13;;;0.4;;;;3.2;3.6;24;22;93;78;85;91;100;100
06.06.2013;2;1;1;2;2;5;2;2;;;;;;;;;11;10;13;15;19;18;15;10;;;0.7;0.7;1;1.6;;0.6;99;95;95;96;60;39;;10
07.06.2013;2;2;2;2;3;2;1;2;;;;;;;;;8;7;11;15;17;16;14;9;0.4;;;;0.5;0.7;;;41;21;;27;78;82;39;25
08.06.2013;2;2;2;3;5;6;3;1;;;;;;;;;8;7;12;17;18;16;14;6;;;;;0.4;0.3;;;36;25;25;14;9;25;27;14
09.06.2013;3;2;1;3;3;4;5;2;;;;;;;;;9;8;14;19;20;19;15;10;;;;;;;;;30;22;;;71;83;65;39
10.06.2013;3;3;4;5;5;5;3;3;;;;;;;;;10;10;16;21;22;23;19;16;;;;;;;;;;24;43;45;91;92;69;83
11.06.2013;4;3;3;4;4;3;3;3;;;;;;;;;13;12;18;24;25;25;21;15;;;;;;;;;97;75;36;25;47;61;17;10
12.06.2013;3;2;1;2;2;2;2;3;;;;;;;;;13;13;19;25;28;26;23;19;;;;;;;;;;;;;;25;67;56
13.06.2013;3;3;3;4;4;4;4;4;;;;;;;;;15;15;21;28;29;28;24;19;1;1.1;0.4;;;;;;25;25;44;40;88;92;88;92
14.06.2013;4;4;5;5;5;5;4;3;;;;;;;;;15;13;17;19;20;19;15;10;;;;;;;;;29;16;;;;;22;11
15.06.2013;3;3;2;2;2;2;1;3;;;;;;;;;7;6;11;17;18;19;16;11;;;;;;;;;;;8;7;92;63;51;33
16.06.2013;3;3;3;3;3;3;3;3;;;;;;;;;11;9;15;22;25;26;21;15;;;;;;;;;100;56;;;;11;70;70
17.06.2013;3;3;3;3;4;4;2;3;;;;;;;;;13;13;20;26;27;27;23;16;;;;;;;;;74;53;78;61;50;52;100;69
18.06.2013;2;2;2;3;3;3;3;3;;;;;;;;;14;14;21;27;29;29;25;19;;;;;;;;;16;20;7;;;;;13
19.06.2013;3;3;4;4;5;4;2;1;;;;;;;;;17;15;22;28;30;32;24;17;;;;;;;;;5;19;52;58;75;67;90;67
20.06.2013;2;2;3;4;4;3;1;1;;;;;;;;;19;16;24;31;34;32;24;20;;;;;;;0.3;1.1;86;49;63;62;85;87;100;100
21.06.2013;3;2;2;4;4;4;3;3;;;;;;;;;18;17;22;31;32;32;27;21;;;;;;;;;72;68;100;76;7;;;10
22.06.2013;3;3;3;4;4;5;4;4;;;;;;;;;19;18;24;31;34;33;28;23;;;;;;;;;14;18;15;13;27;16;21;25
23.06.2013;3;3;4;6;5;5;3;4;;;;;;;;;19;18;23;29;28;29;26;22;0.4;;0.5;;;;;;;;22;42;95;92;81;60
24.06.2013;4;4;5;7;6;6;4;3;;;;;;;;;19;17;23;27;28;28;24;17;;;;;;;;;7;10;7;;;;;
25.06.2013;3;3;3;4;4;4;2;2;;;;;;;;;14;13;19;25;27;28;23;16;;;;;;;;;;21;30;17;;;;
26.06.2013;2;2;4;6;6;5;3;1;;;;;;;;;14;16;21;27;28;28;24;15;;;;;;;;;;8;19;10;;;;
27.06.2013;1;2;2;3;3;3;2;2;;;;;;;;;14;17;22;25;26;27;24;16;;;;;;;;;;24;33;51;85;79;71;47
28.06.2013;1;2;2;3;2;3;3;3;;;;;;;;;13;16;22;28;30;30;26;22;;;;;;;;;;;7;24;32;31;50;54
29.06.2013;3;3;2;2;2;3;4;3;;;;;;;;;19;16;13;17;23;24;20;13;;;0.6;;;;;;100;100;99;94;22;11;;
30.06.2013;3;2;3;4;3;3;2;2;;;;;;;;;13;12;16;19;20;20;17;10;;;;;;;;;89;93;42;25;66;70;7;
01.07.2013;3;3;2;4;4;4;3;3;;;;;;;;;9;8;15;20;22;22;18;11;;;;;;;;;15;9;;;;;;
02.07.2013;3;3;3;3;3;4;4;3;;;;;;;;;9;9;16;21;22;21;16;12;;;;;;;;0.9;;;17;40;100;100;100;92
03.07.2013;3;3;4;6;6;6;4;4;;;;;;;;;9;8;13;20;23;24;19;15;;;;;;;;;37;19;;;;;74;70
04.07.2013;4;4;4;5;4;4;3;3;;;;;;;;;11;10;17;22;25;25;22;18;;;;;;;;;82;73;61;62;54;44;21;36
05.07.2013;3;4;4;5;4;3;2;2;;;;;;;;;15;15;20;27;26;27;24;18;;;;;;;;;62;72;50;26;76;81;68;39
06.07.2013;3;3;2;2;1;1;1;2;;;;;;;;;17;15;21;29;32;32;26;20;;;;;;;;;7;;;;;;16;13
07.07.2013;2;3;3;4;5;5;3;3;;;;;;;;;21;19;20;27;28;27;24;18;;;1.5;;;;;;89;78;42;25;22;44;50;26
08.07.2013;2;2;1;1;1;2;1;1;;;;;;;;;17;17;20;24;27;26;23;21;;;;;;;;;46;60;100;100;96;97;86;92
09.07.2013;3;2;1;1;2;3;1;2;;;;;;;;;19;18;21;28;27;25;24;18;;;0.6;;;;;0.7;73;75;86;87;97;95;43;43
10.07.2013;2;1;2;3;3;3;3;3;;;;;;;;;16;15;20;27;27;27;24;20;;;;;;;;;68;54;57;35;78;84;90;81
11.07.2013;3;3;2;4;4;3;2;3;;;;;;;;;17;15;20;27;29;28;24;19;;;;;;;;;56;35;23;14;15;50;73;53
12.07.2013;2;2;1;2;3;2;2;3;;;;;;;;;17;15;22;28;29;30;26;20;;;;;;;;0.5;18;9;11;27;96;82;74;81
13.07.2013;2;3;3;2;2;3;3;2;;;;;;;;;16;15;19;24;29;29;21;17;;;;;;;1.6;3.4;52;51;69;79;92;80;70;74
14.07.2013;3;4;5;6;7;7;5;4;;;;;;;;;16;15;16;18;17;16;16;12;7.5;1.3;;0.3;0.4;;;;94;94;100;100;100;100;71;38
15.07.2013;3;4;5;6;6;4;3;3;;;;;;;;;10;10;13;17;17;15;13;12;;;;;;0.3;;;;16;91;89;100;100;100;100
16.07.2013;3;4;4;6;7;5;2;2;;;;;;;;;10;10;11;19;22;19;17;14;1.8;2.1;;;;;;;100;100;100;90;49;71;95;96
17.07.2013;3;3;2;2;1;1;1;1;;;;;;;;;11;10;12;16;16;18;17;9;0.7;0.4;;;;;;;100;100;99;92;100;97;71;48
18.07.2013;1;1;1;1;1;1;1;1;;;;;;;;;7;8;17;24;27;27;20;12;;;;;;;;;;;;;;;;
19.07.2013;1;2;2;2;3;3;2;3;;;;;;;;;11;11;19;25;25;26;22;17;;;;;;;;0.4;;;;;50;63;98;72
20.07.2013;3;3;3;4;3;4;3;3;;;;;;;;;14;14;18;22;28;26;23;18;;0.3;1.8;;;;;;17;21;75;79;43;56;86;71
21.07.2013;3;3;3;3;3;4;3;3;;;;;;;;;15;13;17;24;26;26;23;18;;;;;;;;;;;;;15;47;44;48
22.07.2013;3;2;3;3;3;3;2;1;;;;;;;;;16;14;19;25;26;26;23;17;;0.6;;;;;;;64;50;20;25;34;45;38;52
23.07.2013;1;1;1;1;2;3;3;3;;;;;;;;;15;14;22;28;31;25;23;18;;;;;;0.4;0.3;;54;34;;;;36;80;49
24.07.2013;2;2;2;2;1;1;2;2;;;;;;;;;16;14;20;24;31;29;23;17;;;;;;;;;11;6;14;32;7;11;5;
25.07.2013;2;1;0;2;2;2;3;3;;;;;;;;;14;12;22;27;29;29;24;19;;;;;;;;;;;;;;;9;
26.07.2013;3;3;1;2;2;2;1;3;;;;;;;;;17;16;20;28;30;27;23;17;;;;;;;0.6;1.6;;39;100;96;9;43;96;86
27.07.2013;2;2;2;3;2;3;2;3;;;;;;;;;16;15;19;25;28;25;23;18;;;;;;0.5;;;87;86;93;81;93;96;100;100
28.07.2013;2;2;3;3;1;3;3;2;;;;;;;;;16;15;16;19;18;17;16;15;;0.6;1.1;0.9;1.5;0.9;0.7;0.7;100;100;100;100;100;100;100;100
29.07.2013;3;2;1;1;1;1;1;1;;;;;;;;;15;15;17;22;26;24;22;18;0.8;1.1;;;;;;;100;100;100;100;100;100;100;100
30.07.2013;1;2;2;3;3;4;2;2;;;;;;;;;17;17;22;28;30;29;23;20;;;;;;;;;99;99;97;91;81;88;99;99
31.07.2013;3;3;3;3;4;4;4;3;;;;;;;;;18;16;17;20;26;22;19;18;;1.8;1.1;0.7;1.1;2.6;5.6;2.3;100;100;97;98;100;99;100;100
01.08.2013;4;4;4;4;2;3;3;3;;;;;;;;;16;15;16;17;18;18;18;17;6.7;1.6;7.3;4.7;3.4;1.9;1.3;0.6;100;99;99;99;100;100;100;100
02.08.2013;3;3;3;3;3;3;2;2;;;;;;;;;16;16;16;17;18;19;19;16;0.3;1.4;1.9;0.7;;;;;100;100;100;100;95;89;80;69
03.08.2013;2;2;3;3;4;4;2;2;;;;;;;;;14;14;17;22;25;24;20;16;;;;;0.7;1.1;0.5;;;;60;55;;19;17;14
04.08.2013;3;3;4;5;4;3;3;3;;;;;;;;;15;14;18;25;26;26;20;15;;;;;;;;;54;52;53;29;;;;
05.08.2013;3;3;3;3;3;3;2;2;;;;;;;;;13;12;16;23;25;26;19;15;;;;;;;;;;;;;;;17;12
06.08.2013;2;2;2;3;4;4;3;2;;;;;;;;;13;12;17;24;26;25;21;18;;;;;;;;;;;;11;72;80;98;99
07.08.2013;4;5;6;7;6;6;6;5;;;;;;;;;16;15;15;16;15;14;13;13;;;;0.5;1.9;4.9;5.4;4;100;99;100;100;100;100;100;100
08.08.2013;5;5;5;5;5;4;5;4;;;;;;;;;14;14;14;19;22;23;18;15;6.6;5.4;;;;0.4;;;100;100;100;92;60;53;87;90
09.08.2013;4;4;5;6;6;3;4;3;;;;;;;;;13;12;16;21;23;20;18;16;;;;;;0.3;;;39;30;95;62;28;49;88;87
10.08.2013;3;4;4;4;5;4;3;3;;;;;;;;;15;13;14;20;25;26;19;15;;;;;;;;;100;99;100;94;59;46;49;35
11.08.2013;3;3;3;3;4;4;3;4;;;;;;;;;13;12;17;24;27;27;21;17;;;;;;;;;7;19;54;66;47;43;63;52
12.08.2013;3;3;5;4;4;4;2;2;;;;;;;;;16;14;14;18;21;21;15;12;;;;;;;;;62;58;80;42;;;;
13.08.2013;2;2;1;1;1;1;2;3;;;;;;;;;9;8;13;21;23;23;17;14;;;;;;;;;;;;;56;28;;
14.08.2013;2;2;2;1;2;3;3;3;;;;;;;;;13;13;19;26;29;29;23;19;;;;;;;;;;;37;60;98;86;75;42
15.08.2013;2;1;1;1;1;1;1;2;;;;;;;;;17;15;21;28;31;30;22;19;;;0.7;;;;;;75;56;38;21;6;14;77;42
16.08.2013;1;1;2;3;4;4;3;3;;;;;;;;;16;15;22;28;31;31;25;21;;;;;;;;;;;;;;;;
17.08.2013;2;2;2;3;3;4;3;3;;;;;;;;;19;18;22;28;31;31;25;21;;;;;;;;;;;;;16;36;65;58
18.08.2013;3;1;1;2;2;2;3;3;;;;;;;;;19;16;19;23;29;28;19;17;;0.5;0.4;;;;0.9;;96;86;71;75;58;62;96;94
19.08.2013;3;3;2;2;2;2;3;3;;;;;;;;;14;13;16;21;24;24;18;15;;0.8;1.6;;;;;;55;70;92;72;66;59;90;76
20.08.2013;2;2;3;3;2;2;2;3;;;;;;;;;14;13;15;21;23;23;17;14;-;-;-;-;;;;;89;92;94;92;100;97;97;92
21.08.2013;3;2;3;4;3;3;3;2;;;;;;;;;13;12;15;20;22;22;16;13;-;-;;;;;;;100;100;100;100;96;76;50;57
22.08.2013;2;2;2;3;4;3;2;2;;;;;;;;;11;9;14;20;22;23;15;11;;;;;;;;;96;77;90;72;17;32;88;70
23.08.2013;2;2;2;2;2;2;1;2;;;;;;;;;10;10;15;22;25;24;17;14;;;;;;;;;9;;;;;11;70;40
24.08.2013;3;3;2;2;2;2;2;3;;;;;;;;;13;12;15;22;24;25;17;15;;;;;;;;;11;6;;;;;28;14
25.08.2013;3;3;3;4;5;4;3;3;;;;;;;;;14;13;17;24;26;26;19;15;;;;0.5;;;;1;;5;88;54;21;39;31;18
26.08.2013;2;3;1;1;2;2;4;3;;;;;;;;;13;12;13;18;22;22;16;13;;;0.3;;;;;;80;77;65;76;8;5;100;100
27.08.2013;2;2;3;3;3;2;2;4;;;;;;;;;11;10;9;9;9;11;10;9;0.5;2;3.4;3.5;4.3;1.2;;;100;100;100;100;100;100;100;80
28.08.2013;4;4;4;4;4;4;3;3;;;;;;;;;8;6;7;13;14;15;10;9;;;;;;;;;87;67;14;7;39;22;9;37
29.08.2013;3;4;4;5;4;4;3;2;;;;;;;;;9;7;9;13;15;16;10;7;;;;;;;;;99;78;20;37;82;80;28;14
30.08.2013;2;2;2;3;4;3;3;1;;;;;;;;;7;6;10;18;21;21;15;13;;;;;;;0.6;0.5;16;22;82;80;93;88;94;95
31.08.2013;2;3;2;3;4;3;1;1;;;;;;;;;13;12;14;19;23;22;15;11;0.3;;;;;;;;99;92;100;91;97;97;100;58
